Data partit, Camp, Temporada, Ronda, Fase, Equip, Punts, Entrenador, Jugador, Minuts, Punts, Intents2, Intents3, Tirs lliures, Rebots ofensius, Rebots defensius, Rebots totals, Assistencies, Robatoris, Perdues, Bloquejos fets, Bloquejos rebuts, Faltes realitzades,Faltes rebudes, PIR (Performance Index Rating)
April 03 2002 00:00,PALAMALAGUTI,2001-02,Top 16,Round 5,Kinder Bologna,71,ETTORE MESSINA,EMANUEL GINOBILI,29:00,13,5/9,1/4,0/2,,3,3,2,6,3,,,2,6,16
April 03 2002 00:00,PALAMALAGUTI,2001-02,Top 16,Round 5,Kinder Bologna,71,ETTORE MESSINA,DAVIDE BONORA,10:00,2,1/3,,,,1,1,,1,,,1,,,1
April 03 2002 00:00,PALAMALAGUTI,2001-02,Top 16,Round 5,Kinder Bologna,71,ETTORE MESSINA,SANI BECIROVIC,15:00,8,1/3,2/2,,,,,,1,,,,3,1,5
April 03 2002 00:00,PALAMALAGUTI,2001-02,Top 16,Round 5,Kinder Bologna,71,ETTORE MESSINA,ALESSANDRO FROSINI,13:00,2,0/3,,2/2,1,1,2,,,,,,2,1,
April 03 2002 00:00,PALAMALAGUTI,2001-02,Top 16,Round 5,Kinder Bologna,71,ETTORE MESSINA,DAVID ANDERSEN,11:00,,0/6,,,,,,,1,,,,,1,-4
April 03 2002 00:00,PALAMALAGUTI,2001-02,Top 16,Round 5,Kinder Bologna,71,ETTORE MESSINA,ANTOINE RIGAUDEAU,31:00,9,0/2,3/3,,1,2,3,2,1,4,,,4,,5
April 03 2002 00:00,PALAMALAGUTI,2001-02,Top 16,Round 5,Kinder Bologna,71,ETTORE MESSINA,RASHARD GRIFFITH,32:00,9,2/9,,5/6,5,4,9,1,3,1,1,4,3,4,11
April 03 2002 00:00,PALAMALAGUTI,2001-02,Top 16,Round 5,Kinder Bologna,71,ETTORE MESSINA,DAVID BRKIC,3:00,2,1/2,0/1,,,1,1,,,,,,,,1
April 03 2002 00:00,PALAMALAGUTI,2001-02,Top 16,Round 5,Kinder Bologna,71,ETTORE MESSINA,MATJAZ SMODIS,24:00,6,3/7,0/2,,2,4,6,,,2,1,,1,2,6
April 03 2002 00:00,PALAMALAGUTI,2001-02,Top 16,Round 5,Kinder Bologna,71,ETTORE MESSINA,MARKO JARIC,32:00,20,8/10,1/4,1/2,2,1,3,4,3,2,,,4,4,22
April 03 2002 00:00,PALAMALAGUTI,2001-02,Top 16,Round 5,Real Madrid,82,SERGIO SCARIOLO,ALBERTO ANGULO,26:00,10,5/7,0/2,,,4,4,,,5,,,2,2,5
April 03 2002 00:00,PALAMALAGUTI,2001-02,Top 16,Round 5,Real Madrid,82,SERGIO SCARIOLO,ERIC STRUELENS,22:00,4,2/4,,,2,7,9,,1,2,2,1,4,,7
