Data partit, Camp, Temporada, Ronda, Fase, Equip, Punts, Entrenador, Jugador, Minuts, Punts, Intents2, Intents3, Tirs lliures, Rebots ofensius, Rebots defensius, Rebots totals, Assistencies, Robatoris, Perdues, Bloquejos fets, Bloquejos rebuts, Faltes realitzades,Faltes rebudes, PIR (Performance Index Rating):00,STARK ARENA,2017-18,Final Four,THIRD PLACE GAME,CSKA Moscow,77,DIMITRIS ITOUDIS,VITALY FRIDZON,11:04,5,1/1,1/1,,,,,,,1,1,,4,,1
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Real Madrid,85,PABLO LASO,ANTHONY RANDOLPH,11:42,3,0/1,1/1,,,1,1,,,,,,1,,2
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Real Madrid,85,PABLO LASO,RUDY FERNANDEZ,19:07,5,1/2,1/4,,,5,5,3,3,1,,,1,,10
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Real Madrid,85,PABLO LASO,LUKA DONCIC,28:41,15,2/4,1/4,8/10,,3,3,4,1,2,1,,5,7,17
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Real Madrid,85,PABLO LASO,FELIPE REYES,15:22,6,2/4,,2/2,1,2,3,,1,,,1,2,5,10
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Real Madrid,85,PABLO LASO,FACUNDO CAMPAZZO,9:07,,,,,,1,1,,,1,,,2,,-2
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Real Madrid,85,PABLO LASO,GUSTAVO AYON,14:35,4,2/4,,0/2,1,1,2,1,,1,,,3,2,1
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Real Madrid,85,PABLO LASO,JAYCEE CARROLL,13:27,9,1/2,2/5,1/2,,,,,,1,,,,1,4
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Real Madrid,85,PABLO LASO,WALTER TAVARES,21:31,8,3/3,,2/2,2,3,5,2,1,1,1,,4,3,15
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Real Madrid,85,PABLO LASO,SERGIO LLULL,12:02,5,1/4,1/3,,,,,2,,1,,,5,,-4
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Real Madrid,85,PABLO LASO,TREY THOMPKINS,15:26,10,2/2,0/1,6/6,2,3,5,1,1,1,,,1,4,18
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Real Madrid,85,PABLO LASO,JEFFERY TAYLOR,14:37,3,1/3,,1/2,2,1,3,1,,1,,1,1,1,2
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Fenerbahce Dogus Istanbul,80,ZELJKO OBRADOVIC,JASON THOMPSON,4:30,,0/1,,,,,,,,,1,,1,,-1
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Fenerbahce Dogus Istanbul,80,ZELJKO OBRADOVIC,NICOLO MELLI,34:41,28,7/10,4/6,2/3,1,5,6,1,,2,,,4,4,27
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Fenerbahce Dogus Istanbul,80,ZELJKO OBRADOVIC,MELIH MAHMUTOGLU,DNP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Fenerbahce Dogus Istanbul,80,ZELJKO OBRADOVIC,BRAD WANAMAKER,27:15,14,2/7,0/1,10/11,3,2,5,5,3,1,,2,2,10,25
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Fenerbahce Dogus Istanbul,80,ZELJKO OBRADOVIC,KOSTAS SLOUKAS,28:53,7,2/3,1/3,,,1,1,4,,3,,1,2,,3
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Fenerbahce Dogus Istanbul,80,ZELJKO OBRADOVIC,JAMES NUNNALLY,7:20,,0/1,,,,,,1,,,,,,,
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Fenerbahce Dogus Istanbul,80,ZELJKO OBRADOVIC,MARKO GUDURIC,9:19,,0/1,0/2,,,1,1,2,,,,,1,,-1
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Fenerbahce Dogus Istanbul,80,ZELJKO OBRADOVIC,JAN VESELY,23:16,3,1/4,,1/2,3,2,5,2,,2,,,5,2,1
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Fenerbahce Dogus Istanbul,80,ZELJKO OBRADOVIC,NIKOLA KALINIC,20:20,7,2/5,1/3,,1,2,3,1,,3,,,2,3,4
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Fenerbahce Dogus Istanbul,80,ZELJKO OBRADOVIC,ALI MUHAMMED,12:59,7,1/1,1/3,2/2,1,1,2,1,1,,,,1,6,14
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Fenerbahce Dogus Istanbul,80,ZELJKO OBRADOVIC,AHMET DUVERIOGLU,8:26,8,4/4,,,,1,1,,,,1,,4,,6
May 20 2018 20:00,STARK ARENA,2017-18,Final Four,CHAMPIONSHIP GAME,Fenerbahce Dogus Istanbul,80,ZELJKO OBRADOVIC,LUIGI DATOME,23:01,6,2/2,0/2,2/2,,2,2,,,1,,,5,1,1
